"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 13, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","0.00%"
"Jan 10, 2020","38,500.00","38,500.00","40,000.00","37,000.00","-","-2.53%"
"Jan 09, 2020","39,500.00","39,500.00","41,000.00","38,000.00","-","0.00%"
"Jan 08, 2020","39,500.00","39,500.00","41,000.00","38,000.00","-","0.00%"
"Jan 07, 2020","39,500.00","39,500.00","41,000.00","38,000.00","-","0.00%"
"Jan 06, 2020","39,500.00","39,500.00","41,000.00","38,000.00","-","0.00%"
"Jan 03, 2020","39,500.00","39,500.00","41,000.00","38,000.00","-","0.00%"
"Jan 02, 2020","39,500.00","39,500.00","41,000.00","38,000.00","-","0.00%"
"Dec 31, 2019","39,500.00","39,500.00","41,000.00","38,000.00","-","0.00%"
"Dec 30, 2019","39,500.00","39,500.00","41,000.00","38,000.00","-","0.00%"
"Dec 27, 2019","39,500.00","39,500.00","41,000.00","38,000.00","-","-2.47%"
"Dec 26, 2019","40,500.00","40,500.00","42,000.00","39,000.00","-","0.00%"
"Dec 25, 2019","40,500.00","40,500.00","42,000.00","39,000.00","-","0.00%"
"Dec 24, 2019","40,500.00","40,500.00","42,000.00","39,000.00","-","-2.41%"
"Dec 23, 2019","41,500.00","41,500.00","43,000.00","40,000.00","-","0.00%"
"Dec 20, 2019","41,500.00","41,500.00","43,000.00","40,000.00","-","0.00%"
"Dec 19, 2019","41,500.00","41,500.00","43,000.00","40,000.00","-","0.00%"
"Dec 18, 2019","41,500.00","41,500.00","43,000.00","40,000.00","-","0.00%"
"Dec 17, 2019","41,500.00","41,500.00","43,000.00","40,000.00","-","-1.19%"
"Dec 16, 2019","42,000.00","42,000.00","43,500.00","40,500.00","-","0.00%"
"Dec 13, 2019","42,000.00","42,000.00","43,500.00","40,500.00","-","-1.18%"
"Dec 12, 2019","42,500.00","42,500.00","44,000.00","41,000.00","-","0.00%"
"Dec 11, 2019","42,500.00","42,500.00","44,000.00","41,000.00","-","0.00%"
"Dec 10, 2019","42,500.00","42,500.00","44,000.00","41,000.00","-","-1.16%"
"Dec 09, 2019","43,000.00","43,000.00","44,500.00","41,500.00","-","-1.15%"
"Dec 06, 2019","43,500.00","43,500.00","45,000.00","42,000.00","-","-1.14%"
"Dec 05, 2019","44,000.00","44,000.00","45,500.00","42,500.00","-","-1.12%"
"Dec 04, 2019","44,500.00","44,500.00","46,000.00","43,000.00","-","-1.11%"
"Dec 03, 2019","45,000.00","45,000.00","46,500.00","43,500.00","-","-2.17%"
"Dec 02, 2019","46,000.00","46,000.00","47,500.00","44,500.00","-","0.00%"
"Nov 29, 2019","46,000.00","46,000.00","47,500.00","44,500.00","-","-1.08%"
"Nov 28, 2019","46,500.00","46,500.00","48,000.00","45,000.00","-","0.00%"
"Nov 27, 2019","46,500.00","46,500.00","48,000.00","45,000.00","-","0.00%"
"Nov 26, 2019","46,500.00","46,500.00","48,000.00","45,000.00","-","0.00%"
"Nov 25, 2019","46,500.00","46,500.00","48,000.00","45,000.00","-","-1.06%"
"Nov 22, 2019","47,000.00","47,000.00","48,500.00","45,500.00","-","0.00%"
"Nov 21, 2019","47,000.00","47,000.00","48,500.00","45,500.00","-","0.00%"
"Nov 20, 2019","47,000.00","47,000.00","48,500.00","45,500.00","-","-1.05%"
"Nov 19, 2019","47,500.00","47,500.00","49,000.00","46,000.00","-","0.00%"
"Nov 18, 2019","47,500.00","47,500.00","49,000.00","46,000.00","-","-1.04%"
"Nov 15, 2019","48,000.00","48,000.00","49,500.00","46,500.00","-","-1.03%"
"Nov 14, 2019","48,500.00","48,500.00","50,000.00","47,000.00","-","0.00%"
"Nov 13, 2019","48,500.00","48,500.00","50,000.00","47,000.00","-","0.00%"
"Nov 12, 2019","48,500.00","48,500.00","50,000.00","47,000.00","-","0.00%"
"Nov 11, 2019","48,500.00","48,500.00","50,000.00","47,000.00","-","0.00%"
"Nov 08, 2019","48,500.00","48,500.00","50,000.00","47,000.00","-","0.00%"
"Nov 07, 2019","48,500.00","48,500.00","50,000.00","47,000.00","-","0.00%"
"Nov 06, 2019","48,500.00","48,500.00","50,000.00","47,000.00","-","0.00%"
"Nov 05, 2019","48,500.00","48,500.00","50,000.00","47,000.00","-","0.00%"
"Nov 04, 2019","48,500.00","48,500.00","50,000.00","47,000.00","-","0.00%"
"Nov 01, 2019","48,500.00","48,500.00","50,000.00","47,000.00","-","0.00%"
"Oct 31, 2019","48,500.00","48,500.00","50,000.00","47,000.00","-","0.00%"
"Oct 30, 2019","48,500.00","48,500.00","50,000.00","47,000.00","-","0.00%"
"Oct 29, 2019","48,500.00","48,500.00","50,000.00","47,000.00","-","-1.02%"
"Oct 28, 2019","49,000.00","49,000.00","50,500.00","47,500.00","-","-1.01%"
"Oct 25, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Oct 24, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Oct 23, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Oct 22, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
